id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
48546;Phoenix;heron;Female;Greek;1000000;07.07.2016 21:08:48;myData.biz
48547;Phoenix;myth name (a bird that built its own pyre and then was reborn from the ashes);Male;Greek;1000000;07.07.2016 21:08:54;myData.biz
48548;Phoenyx;A mythical bird;Female;Arabic;340;07.07.2016 21:09:05;myData.biz
48549;Phorbas;myth name;Male;Greek;2;07.07.2016 21:09:10;myData.biz
48550;Phorcys;myth name (a sea god);Male;Greek;18;07.07.2016 21:09:22;myData.biz
48551;Phrixus;myth name (son of Nephele);Male;Greek;53;07.07.2016 21:09:29;myData.biz
48552;Phuc;luck, blessings.Southern version.;Male;Vietnamese;28000;07.07.2016 21:09:35;myData.biz
48553;Phuoc;lucky.Northern version.;Male;Vietnamese;11000;07.07.2016 21:09:44;myData.biz
48554;Phuong;"orientation (geometry); phoenix";Female;Vietnamese;94000;07.07.2016 21:09:51;myData.biz
48555;Phyllis;A green branch.;Female;Greek;47000;07.07.2016 21:09:58;myData.biz
48556;Phyllis;green bough;Female;Greek;47000;07.07.2016 21:10:06;myData.biz
48557;Pia;pious;Female;Italian;90000;07.07.2016 21:10:15;myData.biz
48558;Pia;Pious;Female;Spanish;90000;07.07.2016 21:10:23;myData.biz
48559;Piaras;rock;Male;Gaelic;137;07.07.2016 21:10:33;myData.biz
48560;Picaworth;From the woodcutter's estate;Male;English;0;07.07.2016 21:10:38;myData.biz
48561;Picford;From the woodcutter's ford;Male;English;2;07.07.2016 21:10:46;myData.biz
48562;Pickford;from the peak ford;Male;English;3000;07.07.2016 21:10:56;myData.biz
48563;Pickford;From the woodcutter's ford;Male;English;3000;07.07.2016 21:11:02;myData.biz
48564;Pickworth;From the woodcutter's estate;Male;English;334;07.07.2016 21:11:13;myData.biz
48565;Pierce;Form of Piers from Peter.;Male;Irish;215000;07.07.2016 21:11:20;myData.biz
48566;Pierce;Rock;Male;Anglo-Saxon;215000;07.07.2016 21:11:26;myData.biz
48567;Pierce;Rock;Male;English;215000;07.07.2016 21:11:34;myData.biz
48568;Pierpont;Lives by the stone bridge;Male;French;2000;07.07.2016 21:11:43;myData.biz
48569;Pierre;A rock. Form of Peter.;Male;French;455000;07.07.2016 21:11:51;myData.biz
48570;Pierrel;Little rock;Male;English;796;07.07.2016 21:12:00;myData.biz
48571;Pierrepont;Lives by the stone bridge;Male;French;596;07.07.2016 21:12:09;myData.biz
48572;Pierretta;Feminine form of Pierre;Female;French;20;07.07.2016 21:12:18;myData.biz
48573;Pierrette;Feminine form of Pierre;Female;French;3000;07.07.2016 21:12:27;myData.biz
48574;Pierrette;feminine form of Pierre (rock);Female;French;3000;07.07.2016 21:12:30;myData.biz
48575;Piers;A rock. Form of Peter.;Male;French;8000;07.07.2016 21:12:39;myData.biz
48576;Piers;rock;Male;Anglo;8000;07.07.2016 21:12:46;myData.biz
48577;Piers;Rock;Male;Anglo-Saxon;8000;07.07.2016 21:12:54;myData.biz
48578;Piers;Son of Pierce;Male;English;8000;07.07.2016 21:13:02;myData.biz
48579;Pierson;Form of Piers from Peter.;Male;English;19000;07.07.2016 21:13:10;myData.biz
48580;Pierson;Form of Piers from Peter.;Male;Irish;19000;07.07.2016 21:13:18;myData.biz
48581;Pierson;son of Pierce;Male;English;19000;07.07.2016 21:13:26;myData.biz
48582;Pietra;rock;Female;Italian;9000;07.07.2016 21:13:36;myData.biz
48583;Pietro;;Male;Italian;74000;07.07.2016 21:13:42;myData.biz
48584;Pike;;Male;Unknown;38000;07.07.2016 21:13:51;myData.biz
48585;Pilar;Pillar;Female;Spanish;148000;07.07.2016 21:13:59;myData.biz
48586;Pili;born second;Female;Egyptian;20000;07.07.2016 21:14:07;myData.biz
48587;Pili;born second;Male;Egyptian;20000;07.07.2016 21:14:14;myData.biz
48588;Pili;"Swahili name meaning &quot;second born.&quot;";Male;African;20000;07.07.2016 21:14:22;myData.biz
48589;Pimne;Weasel (Hopi);Male;Native American;0;07.07.2016 21:14:30;myData.biz
48590;Pin;faithful boy;Male;Vietnamese;105000;07.07.2016 21:14:40;myData.biz
48591;Pinabel;legend name;Male;French;36;07.07.2016 21:14:48;myData.biz
48592;Ping;duckweed;Female;Chinese;45000;07.07.2016 21:14:54;myData.biz
48593;Pinochos;Dark skinned;Male;Hebrew;6;07.07.2016 21:15:04;myData.biz
48594;Pinochos;dark-skinned;Male;Hebrew;6;07.07.2016 21:15:10;myData.biz
48595;Piper;Piper;Female;English;69000;07.07.2016 21:15:19;myData.biz
48596;Pipere;Piper;Female;English;41;07.07.2016 21:15:28;myData.biz
48597;Piperel;Piper;Male;French;8;07.07.2016 21:15:35;myData.biz
48598;Pippa;lover of horses;Female;Italian;9000;07.07.2016 21:15:44;myData.biz
48599;Pippin;Name of a king;Male;French;5000;07.07.2016 21:15:51;myData.biz
48600;Pirithous;myth name (friend of Theseus);Male;Greek;3;07.07.2016 21:15:59;myData.biz
48601;Pirmin;meaning unknown;Male;Swiss;471;07.07.2016 21:16:08;myData.biz
48602;Piroska;Hungarian form of Priscilla (ancient);Female;Hungarian;2000;07.07.2016 21:16:17;myData.biz
48603;Pirro;Red haired;Male;Spanish;2000;07.07.2016 21:16:23;myData.biz
48604;Pirro;red-haired;Male;Greek;2000;07.07.2016 21:16:30;myData.biz
48605;Pishachi;shrew;Female;Indian;1;07.07.2016 21:16:40;myData.biz
48606;Pista;victorious;Male;Hungarian;5000;07.07.2016 21:16:48;myData.biz
48607;Pit;From the Pit;Male;English;49000;07.07.2016 21:16:54;myData.biz
48608;Pithasthana;myth name (wife of Shiva);Female;Indian;0;07.07.2016 21:17:02;myData.biz
48609;Pitney;From the Preserving land;Male;English;29000;07.07.2016 21:17:12;myData.biz
48610;Pittheus;myth name (king of Trozen);Male;Greek;6;07.07.2016 21:17:18;myData.biz
48611;Pityocamptes;pine-bender;Male;Greek;0;07.07.2016 21:17:26;myData.biz
48612;Pius;pious;Male;Swiss;26000;07.07.2016 21:17:36;myData.biz
48613;Pivane;"Hopi name meaning &quot; weasel.&quot;";Male;Native;1;07.07.2016 21:17:42;myData.biz
48614;Placida;Tranquil;Female;Spanish;572;07.07.2016 21:17:52;myData.biz
48615;Placido;Tranquil;Male;Spanish;8000;07.07.2016 21:17:59;myData.biz
48616;Plaise;Strong;Male;Irish;30;07.07.2016 21:18:08;myData.biz
48617;Plat;From the flat land;Male;French;7000;07.07.2016 21:18:15;myData.biz
48618;Plato;broad;Male;Greek;14000;07.07.2016 21:18:22;myData.biz
48619;Platon;Broad shouldered;Male;Spanish;13000;07.07.2016 21:18:30;myData.biz
48620;Platt;From the flat land;Male;French;31000;07.07.2016 21:18:39;myData.biz
48621;Pleasure;myth name;Female;Greek;12000;07.07.2016 21:18:47;myData.biz
48622;Pleoh;danger;Male;Anglo;1;07.07.2016 21:18:54;myData.biz
48623;Pleoh;Danger;Male;Anglo-Saxon;1;07.07.2016 21:19:02;myData.biz
48624;Plexippus;myth name (an Argonaut);Male;Greek;18;07.07.2016 21:19:13;myData.biz
48625;Plutus;myth name (wealth);Male;Greek;426;07.07.2016 21:19:19;myData.biz
48626;Podarge;myth name (a Harpy);Female;Greek;4;07.07.2016 21:19:27;myData.biz
48627;Pol;little;Male;Gaelic;86000;07.07.2016 21:19:36;myData.biz
48628;Polak;form Poland;Male;Czechoslovakian;11000;07.07.2016 21:19:42;myData.biz
48629;Poldi;patriotic;Male;Hungarian;2000;07.07.2016 21:19:53;myData.biz
48630;Polikwaptiwa;Butterfly sitting on a flower (Hopi);Female;Native American;6;07.07.2016 21:19:59;myData.biz
48631;Polites;myth name;Male;Greek;372;07.07.2016 21:20:09;myData.biz
48632;Poll;Bitter;Female;Hebrew;11000;07.07.2016 21:20:15;myData.biz
48633;Pollock;Little rock;Male;English;21000;07.07.2016 21:20:24;myData.biz
48634;Pollux;myth name (brother of Helen);Male;Greek;2000;07.07.2016 21:20:32;myData.biz
48635;Polly;Bitter;Female;Hebrew;49000;07.07.2016 21:20:40;myData.biz
